caseid;weight;q3new_treat;q5b_treat;q12a_treat;q12_treat;q15_treat;Q1_risks_1;Q1_risks_2;Q1_risks_3;Q1_risks_4;Q1_risks_5;Q1_risks_6;Q1_risks_7;Q1_risks_8;Q1_risks_9;Q1_risks_10;Q1_risks_11;Q1_risks_12;Q1_risks_13;Q1_risks_14;Q1_risks_15;Q1_1;Q2_1;Q1_2;Q2_2;Q1_3;Q2_3;Q1_4;Q2_4;Q1_5;Q2_5;Q1_6;Q2_6;Q1_7;Q2_7;Q1_8;Q2_8;Q1_9;Q2_9;Q1_10;Q2_10;Q1_11;Q2_11;Q1_12;Q2_12;Q1_13;Q2_13;Q1_14;Q2_14;Q1_15;Q2_15;Q3new_1;Q3new_2;Q3new_3;Q3new_4;Q3new_5;Q3new_6;Q3new_7;Q3new_8;Q3new_9;Q3new_10;Q3new_11;Q4_1;Q4_2;Q4_3;Q4_4;Q4_5;Q5_tasks_1;Q5_tasks_2;Q5_tasks_3;Q5_tasks_4;Q5_tasks_5;Q5_tasks_6;Q5_tasks_7;Q5_tasks_8;Q5_tasks_9;Q5_tasks_10;Q5_tasks_11;Q5_tasks_12;Q5_tasks_13;Q5_tasks_14;Q5;Q5b;Q6_org_1;Q6_org_2;Q6_org_3;Q6_org_4;Q6_org_5;Q6_org_6;Q6_org_7;Q6_org_8;Q6_org_9;Q6_org_10;Q6_org_11;Q6_org_12;Q6_org_13;Q6_org_14;Q6_org_15;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q6_9;Q6_10;Q6_11;Q6_12;Q6_13;Q6_14;Q6_15;Q7_org_1;Q7_org_2;Q7_org_3;Q7_org_4;Q7_org_5;Q7_org_6;Q7_org_7;Q7_org_8;Q7_org_9;Q7_org_10;Q7_org_11;Q7_org_12;Q7_org_13;Q7_1;Q7_2;Q7_3;Q7_4;Q7_5;Q7_6;Q7_7;Q7_8;Q7_9;Q7_10;Q7_11;Q7_12;Q7_13;Q8_challenge_1;Q8_challenge_2;Q8_challenge_3;Q8_challenge_4;Q8_challenge_5;Q8_challenge_6;Q8_challenge_7;Q8_challenge_8;Q8_challenge_9;Q8_challenge_10;Q8_challenge_11;Q8_challenge_12;Q8_challenge_13;Q8_1;Q9_1;Q10_1;Q8_2;Q9_2;Q10_2;Q8_3;Q9_3;Q10_3;Q8_4;Q9_4;Q10_4;Q8_5;Q9_5;Q10_5;Q8_6;Q9_6;Q10_6;Q8_7;Q9_7;Q10_7;Q8_8;Q9_8;Q10_8;Q8_9;Q9_9;Q10_9;Q8_10;Q9_10;Q10_10;Q8_11;Q9_11;Q10_11;Q8_12;Q9_12;Q10_12;Q8_13;Q9_13;Q10_13;Q12a;Q12b;Q12;Q13;Q14_issue_1;Q14_issue_2;Q14_issue_3;Q14_issue_4;Q14_issue_5;Q14_1;Q14_2;Q14_3;Q14_4;Q14_5;Q15;Q16_1;Q16_2;Q16_3;Q17;Q18;birthyr;gender;race;educ;marstat;employ;faminc_new;pid3;pid7;inputstate;votereg;ideo5;newsint;religpew;pew_churatd;pew_bornagain;pew_religimp;pew_prayer;starttime;endtime
390036317;7,84829E+14;1;3;2;3;3;9;9;1;9;1;9;1;9;9;9;9;1;9;1;9;99;9;99;9;6;4;99;9;6;4;99;9;5;4;99;9;99;9;99;9;99;9;5;3;99;9;5;3;99;9;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;1;1;9;1;9;9;1;9;9;1;1;9;9;9;9;6;5;9;9;1;9;9;9;9;9;9;1;1;1;9;1;9;9;9;5;9;9;9;9;9;9;5;5;5;9;5;9;9;9;1;9;9;1;1;9;9;9;1;1;9;9;9;5;9;9;5;5;9;9;9;5;5;9;9;9;1;9;9;1;9;1;9;1;1;9;9;99;99;9;99;99;9;4;5;3;99;99;9;99;99;9;8;8;5;99;99;9;5;5;3;99;99;9;5;6;4;6;5;5;99;99;9;99;99;9;9;3;3;3;1;1;1;9;9;4;5;3;99;99;5;5;4;5;3;6;1990;2;1;4;5;1;8;1;2;6;1;6;7;11;6;2;3;8;14/06/2018;14/06/2018
390442092;1,12687E+14;4;2;2;3;2;9;9;9;9;9;1;1;1;9;9;9;9;9;1;1;99;9;99;9;99;9;99;9;99;9;5;5;5;4;5;4;99;9;99;9;99;9;99;9;99;9;6;3;6;4;2;2;2;2;2;2;1;2;1;1;2;1;2;2;2;2;1;1;9;9;9;9;9;1;1;9;9;9;9;1;2;1;1;9;9;1;1;1;9;1;9;9;9;9;9;9;9;2;9;9;3;3;3;9;1;9;9;9;9;9;9;9;9;9;1;9;1;1;9;9;9;1;9;1;9;9;9;3;9;3;2;9;9;9;3;9;2;9;9;9;9;1;9;1;9;9;9;1;1;1;9;99;99;9;99;99;9;99;99;9;6;6;1;99;99;9;6;6;1;99;99;9;99;99;9;99;99;9;6;6;2;5;5;2;6;6;2;99;99;9;9;3;1;4;1;9;1;1;9;4;99;4;4;99;2;6;7;7;2;2;1950;1;1;6;3;1;12;3;5;47;1;3;1;2;5;2;2;2;07/06/2018;07/06/2018
390886318;9,89434E+14;1;3;2;4;1;9;9;1;9;9;9;1;1;9;9;9;1;9;1;9;99;9;99;9;5;4;99;9;99;9;99;9;8;6;8;4;99;9;99;9;99;9;6;4;99;9;5;4;99;9;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;9;9;9;9;9;9;9;1;1;9;1;1;1;9;4;1;9;9;1;9;1;9;9;9;1;1;9;9;1;9;9;9;9;3;9;3;9;9;9;3;3;9;9;3;9;9;9;9;9;9;9;1;1;1;9;9;1;1;9;9;9;9;9;9;3;3;3;9;9;3;5;9;1;9;1;9;9;9;1;9;1;9;1;9;9;8;8;1;99;99;9;4;4;1;99;99;9;99;99;9;99;99;9;4;4;3;99;99;9;8;8;1;99;99;9;8;8;1;99;99;9;99;99;9;9;5;1;6;1;1;9;9;1;8;8;99;99;8;5;8;8;8;4;4;1955;2;1;4;1;7;7;2;7;49;1;4;1;3;4;1;1;2;08/06/2018;08/06/2018
390935450;1,08628E+14;1;3;2;4;2;9;9;1;9;9;9;9;1;9;9;1;1;1;9;9;99;9;99;9;4;3;99;9;99;9;99;9;99;9;5;3;99;9;99;9;4;3;5;3;4;3;99;9;99;9;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;9;1;1;9;9;1;1;1;9;9;9;9;9;9;4;1;9;1;9;9;9;9;1;1;1;9;1;9;9;9;9;9;4;9;9;9;9;4;3;4;9;3;9;9;9;9;9;1;9;1;9;9;9;9;1;1;1;9;9;9;4;9;4;9;9;9;9;3;3;3;9;9;1;9;9;9;1;1;9;9;1;9;9;1;9;3;3;1;99;99;9;99;99;9;99;99;9;3;3;1;3;3;1;99;99;9;99;99;9;3;3;1;99;99;9;99;99;9;3;3;1;99;99;9;9;3;2;4;9;1;9;1;1;99;3;99;3;4;3;3;4;6;4;4;1949;2;1;4;1;5;7;3;4;27;1;4;3;11;2;1;3;1;08/06/2018;08/06/2018
390937788;1,0027E+14;1;3;1;3;4;9;1;9;1;9;9;9;9;9;9;9;1;1;9;1;99;9;7;3;99;9;2;4;99;9;99;9;99;9;99;9;99;9;99;9;99;9;6;3;4;3;99;9;6;3;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;9;1;9;9;1;9;1;9;9;1;9;1;9;9;2;1;9;1;9;1;9;9;1;1;9;9;9;9;9;9;1;9;2;9;3;9;9;1;2;9;9;9;9;9;9;2;9;9;9;1;9;9;1;1;9;9;1;9;1;9;9;9;4;9;9;2;3;9;9;2;9;2;9;9;9;1;1;9;1;9;1;9;9;1;9;99;99;9;99;99;9;99;99;9;6;6;1;6;5;1;99;99;9;5;5;1;99;99;9;4;4;2;99;99;9;99;99;9;3;3;3;99;99;9;1;9;1;5;9;1;1;9;1;99;3;3;99;3;2;5;6;7;2;2;1957;1;1;3;1;2;10;2;7;29;1;4;1;1;2;2;1;1;08/06/2018;08/06/2018
391156034;9,01699E+14;2;3;2;3;2;1;9;9;9;9;9;1;9;9;9;1;1;9;9;1;3;2;99;9;99;9;99;9;99;9;99;9;2;3;99;9;99;9;99;9;5;4;3;3;99;9;99;9;5;4;1;1;2;2;2;2;1;1;1;1;2;2;1;2;1;2;9;9;9;9;1;9;9;9;9;1;9;1;1;1;1;3;9;9;1;1;9;9;9;1;9;9;1;1;9;9;9;9;9;3;4;9;9;9;1;9;9;1;1;9;9;9;9;1;1;1;9;9;9;1;1;9;9;9;9;9;3;3;4;9;9;9;3;3;9;9;9;9;9;9;9;9;9;9;9;1;1;1;1;9;1;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;99;99;9;5;6;1;6;6;1;6;6;1;7;7;1;99;99;9;6;7;1;9;2;1;1;1;9;9;1;1;4;99;99;3;3;3;5;7;7;2;2;1939;1;1;4;6;5;5;2;7;39;1;5;1;1;4;2;1;3;08/06/2018;08/06/2018
391160747;1,08461E+14;2;2;2;4;3;1;9;9;1;9;1;9;9;1;9;1;9;9;9;9;7;5;99;9;99;9;6;5;99;9;6;5;99;9;99;9;5;5;99;9;7;5;99;9;99;9;99;9;99;9;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;9;9;9;1;9;9;9;1;9;1;9;9;3;1;1;9;9;9;1;9;9;9;1;1;1;9;9;9;9;4;9;9;9;3;9;9;9;4;4;3;9;9;9;9;9;9;9;9;1;9;1;1;1;9;9;9;1;9;9;9;9;4;9;4;4;4;9;9;9;3;9;1;1;9;9;1;9;9;1;9;1;9;9;99;99;9;6;7;1;6;6;1;99;99;9;99;99;9;7;7;1;99;99;9;99;99;9;7;7;1;99;99;9;7;7;1;99;99;9;99;99;9;9;1;3;2;1;1;1;9;9;4;3;3;99;99;2;6;7;7;4;4;1950;2;1;3;1;2;6;1;1;53;1;1;1;2;5;2;3;3;08/06/2018;08/06/2018
391199756;1,07908E+14;3;1;1;4;2;9;9;9;9;9;9;1;1;1;9;9;9;1;9;1;99;9;99;9;99;9;99;9;99;9;99;9;7;5;7;4;3;3;99;9;99;9;99;9;6;4;99;9;7;3;1;2;2;2;2;2;1;1;2;1;2;1;2;2;2;2;9;1;9;9;9;9;9;1;9;1;1;1;9;9;2;1;9;1;1;9;9;1;9;9;9;9;9;1;9;1;9;9;3;4;9;9;4;9;9;9;9;9;2;9;3;9;1;9;9;9;9;9;1;1;1;9;1;9;9;4;9;9;9;9;9;2;3;3;9;3;9;9;1;9;1;1;1;9;9;9;9;1;9;9;9;7;7;1;99;99;9;4;6;1;7;7;1;7;5;1;99;99;9;99;99;9;99;99;9;99;99;9;6;6;1;99;99;9;99;99;9;99;99;9;3;9;5;3;9;1;1;1;9;99;1;3;1;99;2;5;6;7;4;4;1949;1;1;6;6;5;10;1;1;6;1;2;1;1;5;2;3;2;07/06/2018;07/06/2018
391226990;6,55146E+14;4;3;1;3;3;9;9;9;9;1;9;1;1;9;9;9;1;9;9;1;99;9;99;9;99;9;99;9;3;4;99;9;4;4;5;3;99;9;99;9;99;9;4;3;99;9;99;9;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;9;1;9;9;9;1;1;9;9;1;9;1;9;9;3;2;9;9;9;9;9;1;9;9;1;1;9;9;1;9;1;9;9;9;9;9;2;9;9;3;3;9;9;4;9;3;1;9;1;9;9;1;9;1;9;9;9;9;1;2;9;2;9;9;3;9;4;9;9;9;9;3;1;9;1;9;9;9;9;1;1;9;9;9;1;4;5;3;99;99;9;4;6;3;99;99;9;99;99;9;99;99;9;99;99;9;5;6;3;4;5;3;99;99;9;99;99;9;99;99;9;4;6;2;3;9;2;2;1;9;1;9;1;3;99;4;99;5;3;3;5;4;3;3;1988;1;1;5;5;3;3;2;6;29;1;4;3;11;7;2;4;8;08/06/2018;08/06/2018
391273461;8,85194E+14;2;2;1;1;2;9;9;9;9;9;1;9;1;9;9;9;1;1;9;1;99;9;99;9;99;9;99;9;99;9;5;6;99;9;7;4;99;9;99;9;99;9;6;3;5;6;99;9;5;4;1;2;2;1;2;2;2;1;1;1;2;2;2;2;2;1;9;9;1;9;1;1;9;9;9;1;9;1;9;9;2;2;9;9;9;9;9;1;9;1;1;9;9;1;1;9;9;9;9;9;9;9;5;9;5;5;9;9;5;5;9;9;1;9;1;9;1;9;9;9;9;9;9;1;1;2;9;2;9;5;9;9;9;9;9;9;5;2;9;9;9;1;9;1;9;9;1;9;1;9;1;99;99;9;99;99;9;99;99;9;5;5;1;99;99;9;7;7;1;99;99;9;99;99;9;6;5;1;99;99;9;7;7;1;99;99;9;5;8;1;5;9;6;2;1;1;9;9;1;3;2;99;99;1;4;1;1;4;3;6;1961;1;2;5;5;6;97;1;1;6;1;2;1;2;4;2;2;3;08/06/2018;08/06/2018
